GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gestion-roles-permisos,com.ciudadania360.gestionrolespermisos.domain.handler,UsuarioRolHandler,8,46,1,1,0,6,2,6,1,6
gestion-roles-permisos,com.ciudadania360.gestionrolespermisos.domain.handler,PermisoHandler,8,46,1,1,0,6,2,6,1,6
gestion-roles-permisos,com.ciudadania360.gestionrolespermisos.domain.handler,RolHandler,8,46,1,1,0,6,2,6,1,6
gestion-roles-permisos,com.ciudadania360.gestionrolespermisos.application.dto.rol,RolResponse,170,131,39,15,1,9,36,10,9,10
gestion-roles-permisos,com.ciudadania360.gestionrolespermisos.application.dto.rol,RolResponse.RolResponseBuilder,30,34,0,0,0,1,4,5,4,5
gestion-roles-permisos,com.ciudadania360.gestionrolespermisos.application.dto.rol,RolRequest,197,60,46,0,0,9,27,13,4,13
gestion-roles-permisos,com.ciudadania360.gestionrolespermisos.application.dto.rol,RolRequest.RolRequestBuilder,27,27,0,0,0,1,4,4,4,4
gestion-roles-permisos,com.ciudadania360.gestionrolespermisos.controller,UsuarioRolController,0,36,0,0,0,8,0,6,0,6
gestion-roles-permisos,com.ciudadania360.gestionrolespermisos.controller,PermisoController,0,38,0,0,0,10,0,6,0,6
gestion-roles-permisos,com.ciudadania360.gestionrolespermisos.controller,RolController,0,31,0,0,0,7,0,5,0,5
gestion-roles-permisos,com.ciudadania360.gestionrolespermisos.application.service,UsuarioRolService,0,78,0,0,0,16,0,6,0,6
gestion-roles-permisos,com.ciudadania360.gestionrolespermisos.application.service,RolService,0,78,0,0,0,16,0,6,0,6
gestion-roles-permisos,com.ciudadania360.gestionrolespermisos.application.service,PermisoService,0,78,0,0,0,16,0,6,0,6
gestion-roles-permisos,com.ciudadania360.gestionrolespermisos,GestionRolesPermisosApplication,5,3,0,0,2,1,1,1,1,1
gestion-roles-permisos,com.ciudadania360.gestionrolespermisos.application.mapper,UsuarioRolMapperImpl,149,0,20,0,41,0,14,0,4,0
gestion-roles-permisos,com.ciudadania360.gestionrolespermisos.application.mapper,PermisoMapperImpl,149,0,20,0,41,0,14,0,4,0
gestion-roles-permisos,com.ciudadania360.gestionrolespermisos.application.mapper,RolMapperImpl,115,0,16,0,33,0,12,0,4,0
gestion-roles-permisos,com.ciudadania360.gestionrolespermisos.config,SecurityConfig,51,0,0,0,8,0,5,0,5,0
gestion-roles-permisos,com.ciudadania360.gestionrolespermisos.config,OpenApiConfig,15,0,0,0,2,0,2,0,2,0
gestion-roles-permisos,com.ciudadania360.gestionrolespermisos.domain.entity,Permiso.PermisoBuilder,26,65,0,0,0,1,2,10,2,10
gestion-roles-permisos,com.ciudadania360.gestionrolespermisos.domain.entity,Permiso,359,71,77,1,2,11,51,13,12,13
gestion-roles-permisos,com.ciudadania360.gestionrolespermisos.domain.entity,Rol.RolBuilder,27,46,0,0,0,1,3,7,3,7
gestion-roles-permisos,com.ciudadania360.gestionrolespermisos.domain.entity,Rol,285,59,61,1,2,9,41,11,10,11
gestion-roles-permisos,com.ciudadania360.gestionrolespermisos.domain.entity,UsuarioRol.UsuarioRolBuilder,25,70,0,0,0,1,1,11,1,11
gestion-roles-permisos,com.ciudadania360.gestionrolespermisos.domain.entity,UsuarioRol,363,71,77,1,2,11,51,13,12,13
gestion-roles-permisos,com.ciudadania360.gestionrolespermisos.application.dto.usuariorol,UsuarioRolRequest.UsuarioRolRequestBuilder,20,56,0,0,0,1,1,9,1,9
gestion-roles-permisos,com.ciudadania360.gestionrolespermisos.application.dto.usuariorol,UsuarioRolResponse.UsuarioRolResponseBuilder,28,58,0,0,0,1,2,9,2,9
gestion-roles-permisos,com.ciudadania360.gestionrolespermisos.application.dto.usuariorol,UsuarioRolResponse,222,169,51,19,1,11,46,12,11,12
gestion-roles-permisos,com.ciudadania360.gestionrolespermisos.application.dto.usuariorol,UsuarioRolRequest,267,80,62,0,0,11,35,17,4,17
gestion-roles-permisos,com.ciudadania360.gestionrolespermisos.application.dto.permiso,PermisoResponse,218,169,51,19,1,11,46,12,11,12
gestion-roles-permisos,com.ciudadania360.gestionrolespermisos.application.dto.permiso,PermisoRequest,263,80,62,0,0,11,35,17,4,17
gestion-roles-permisos,com.ciudadania360.gestionrolespermisos.application.dto.permiso,PermisoResponse.PermisoResponseBuilder,34,48,0,0,0,1,4,7,4,7
gestion-roles-permisos,com.ciudadania360.gestionrolespermisos.application.dto.permiso,PermisoRequest.PermisoRequestBuilder,31,41,0,0,0,1,4,6,4,6
