GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
subsistema-ciudadano,com.ciudadania360.subsistemaciudadano.application.dto.clasificacion,ClasificacionRequest.ClasificacionRequestBuilder,27,0,0,0,1,0,5,0,5,0
subsistema-ciudadano,com.ciudadania360.subsistemaciudadano.application.dto.clasificacion,ClasificacionResponse,116,99,26,12,1,7,25,9,7,8
subsistema-ciudadano,com.ciudadania360.subsistemaciudadano.application.dto.clasificacion,ClasificacionResponse.ClasificacionResponseBuilder,11,35,0,0,0,1,1,6,1,6
subsistema-ciudadano,com.ciudadania360.subsistemaciudadano.application.dto.clasificacion,ClasificacionRequest,60,68,15,7,1,5,14,8,3,8
subsistema-ciudadano,com.ciudadania360.subsistemaciudadano.domain.entity,Clasificacion.ClasificacionBuilder,31,53,0,0,0,1,3,8,3,8
subsistema-ciudadano,com.ciudadania360.subsistemaciudadano.domain.entity,Direccion,431,43,86,0,10,4,66,4,23,4
subsistema-ciudadano,com.ciudadania360.subsistemaciudadano.domain.entity,Solicitud.SolicitudBuilder,52,154,0,0,0,1,1,23,1,23
subsistema-ciudadano,com.ciudadania360.subsistemaciudadano.domain.entity,Direccion.DireccionBuilder,24,77,0,0,0,1,1,12,1,12
subsistema-ciudadano,com.ciudadania360.subsistemaciudadano.domain.entity,Solicitud,736,217,173,1,0,25,92,44,5,44
subsistema-ciudadano,com.ciudadania360.subsistemaciudadano.domain.entity,Ciudadano,583,107,125,1,2,17,81,19,18,19
subsistema-ciudadano,com.ciudadania360.subsistemaciudadano.domain.entity,Ubicacion.UbicacionBuilder,23,77,0,0,0,1,1,12,1,12
subsistema-ciudadano,com.ciudadania360.subsistemaciudadano.domain.entity,Ubicacion,372,101,85,1,2,12,50,20,7,20
subsistema-ciudadano,com.ciudadania360.subsistemaciudadano.domain.entity,Consentimiento.ConsentimientoBuilder,12,35,0,0,0,1,1,6,1,6
subsistema-ciudadano,com.ciudadania360.subsistemaciudadano.domain.entity,Consentimiento,169,47,38,0,1,7,24,10,5,10
subsistema-ciudadano,com.ciudadania360.subsistemaciudadano.domain.entity,Interaccion.InteraccionBuilder,26,77,0,0,0,1,1,12,1,12
subsistema-ciudadano,com.ciudadania360.subsistemaciudadano.domain.entity,ReglaClasificacion,405,114,93,1,1,14,53,23,6,23
subsistema-ciudadano,com.ciudadania360.subsistemaciudadano.domain.entity,ReglaClasificacion.ReglaClasificacionBuilder,28,84,0,0,0,1,1,13,1,13
subsistema-ciudadano,com.ciudadania360.subsistemaciudadano.domain.entity,Clasificacion,338,51,70,0,5,7,50,8,15,8
subsistema-ciudadano,com.ciudadania360.subsistemaciudadano.domain.entity,Ciudadano.CiudadanoBuilder,35,112,0,0,0,1,1,17,1,17
subsistema-ciudadano,com.ciudadania360.subsistemaciudadano.domain.entity,Interaccion,375,101,85,1,2,12,50,20,7,20
