GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
subsistema-tramitacion,com.ciudadania360.subsistematramitacion,SubsistemaTramitacionApplication,8,0,0,0,3,0,2,0,2,0
subsistema-tramitacion,com.ciudadania360.subsistematramitacion.application.dto.carpeta,CarpetaRequest,297,90,70,0,0,12,39,19,4,19
subsistema-tramitacion,com.ciudadania360.subsistematramitacion.application.dto.carpeta,CarpetaResponse,220,211,56,22,1,12,49,15,11,14
subsistema-tramitacion,com.ciudadania360.subsistematramitacion.application.dto.carpeta,CarpetaRequest.CarpetaRequestBuilder,19,63,0,0,0,1,1,10,1,10
subsistema-tramitacion,com.ciudadania360.subsistematramitacion.application.dto.carpeta,CarpetaResponse.CarpetaResponseBuilder,22,70,0,0,0,1,1,11,1,11
subsistema-tramitacion,com.ciudadania360.subsistematramitacion.application.dto.integracion,IntegracionRequest,135,36,30,0,1,6,20,8,5,8
subsistema-tramitacion,com.ciudadania360.subsistematramitacion.application.dto.integracion,IntegracionRequest.IntegracionRequestBuilder,36,0,0,0,1,0,6,0,6,0
subsistema-tramitacion,com.ciudadania360.subsistematramitacion.application.dto.integracion,IntegracionResponse.IntegracionResponseBuilder,11,35,0,0,0,1,1,6,1,6
subsistema-tramitacion,com.ciudadania360.subsistematramitacion.application.dto.integracion,IntegracionResponse,105,110,26,12,1,7,24,10,6,9
subsistema-tramitacion,com.ciudadania360.subsistematramitacion.application.dto.contrata,ContrataRequest.ContrataRequestBuilder,6,21,0,0,0,1,1,4,1,4
subsistema-tramitacion,com.ciudadania360.subsistematramitacion.application.dto.contrata,ContrataResponse,82,90,20,10,1,6,19,9,5,8
subsistema-tramitacion,com.ciudadania360.subsistematramitacion.application.dto.contrata,ContrataRequest,98,30,22,0,0,6,15,7,4,7
subsistema-tramitacion,com.ciudadania360.subsistematramitacion.application.dto.contrata,ContrataResponse.ContrataResponseBuilder,9,28,0,0,0,1,1,5,1,5
subsistema-tramitacion,com.ciudadania360.subsistematramitacion.application.dto.paso,PasoResponse,174,171,44,18,1,10,39,13,9,12
subsistema-tramitacion,com.ciudadania360.subsistematramitacion.application.dto.paso,PasoRequest.PasoRequestBuilder,64,0,0,0,1,0,9,0,9,0
subsistema-tramitacion,com.ciudadania360.subsistematramitacion.application.dto.paso,PasoRequest,235,66,54,0,1,9,32,14,5,14
subsistema-tramitacion,com.ciudadania360.subsistematramitacion.application.dto.paso,PasoResponse.PasoResponseBuilder,18,56,0,0,0,1,1,9,1,9
subsistema-tramitacion,com.ciudadania360.subsistematramitacion.application.mapper,IncidenciaContrataMapperImpl,81,0,12,0,25,0,10,0,4,0
subsistema-tramitacion,com.ciudadania360.subsistematramitacion.application.mapper,DocumentoMapperImpl,200,0,26,0,53,0,17,0,4,0
subsistema-tramitacion,com.ciudadania360.subsistematramitacion.application.mapper,CarpetaMapperImpl,166,0,22,0,45,0,15,0,4,0
subsistema-tramitacion,com.ciudadania360.subsistematramitacion.application.mapper,PasoMapperImpl,132,0,18,0,37,0,13,0,4,0
subsistema-tramitacion,com.ciudadania360.subsistematramitacion.application.mapper,ContrataMapperImpl,64,0,10,0,21,0,9,0,4,0
subsistema-tramitacion,com.ciudadania360.subsistematramitacion.application.mapper,TareaBPMMapperImpl,217,0,28,0,57,0,18,0,4,0
subsistema-tramitacion,com.ciudadania360.subsistematramitacion.application.mapper,IntegracionMapperImpl,81,0,12,0,25,0,10,0,4,0
subsistema-tramitacion,com.ciudadania360.subsistematramitacion.application.mapper,ProcesoBPMMapperImpl,166,0,22,0,45,0,15,0,4,0
subsistema-tramitacion,com.ciudadania360.subsistematramitacion.application.mapper,FlujoMapperImpl,132,0,18,0,37,0,13,0,4,0
subsistema-tramitacion,com.ciudadania360.subsistematramitacion.config,OpenApiConfig,15,0,0,0,2,0,2,0,2,0
